id,idade,genero,regiao,nivel_de_renda,nivel_de_educacao,funcao_diaria,H_uso_do_dispo_p_dia,desbloqueios_do_celular,notificacoes_p_dia,minutos_de_midias_sociais,minutos_de_estudo,dias_de_ativ_fisica,horas_de_sono,qualidade_do_sono,pontuacao_de_ansiedade,pontuacao_de_depressao,nivel_de_estresse,pontuacao_de_felicidade,pontuacao_de_foco,indicador_de_alto_risco,tipo_de_dispositivo,pontuacao_de_produtividade,pontuacao_de_dependencia_digital
41,35,Feminino,Europa,Alto,Ensino_medio,Desempregado_a_procura_de_emprego,9.89,171,231,61,13,2,7.08,2.94,5.26,14.0,2.07,7.3,62.0,0,Android,72.0,42.47
42,20,Feminino,America_do_sul,Baixo,Bacharelado,Meio período/Turno,6.4,137,207,173,0,3,6.15,2.94,7.23,3.0,4.99,7.9,50.0,0,Laptop,67.0,29.6
43,40,Masculino,Africa,Medio_baixo,Mestrado,Meio período/Turno,4.86,83,114,199,166,2,7.28,2.98,4.0,3.0,10.0,0.2,73.0,0,Tablet,64.0,20.8
44,22,Feminino,America_do_norte,Medio_alto,Bacharelado,Meio período/Turno,8.32,176,223,120,0,1,5.96,2.81,3.49,10.0,3.19,9.1,63.0,0,Laptop,62.0,38.1
45,49,Masculino,Europa,Baixo,Bacharelado,Cuidador_Aux_servicos_domiciliares,3.9,77,150,99,0,0,8.5,2.66,4.0,3.0,10.0,0.3,75.0,0,Tablet,50.0,20.2
46,23,Feminino,Europa,Medio_alto,Bacharelado,Funcionario_em_tmp_integral,3.7,88,158,81,104,6,7.52,3.15,7.56,3.0,4.66,9.4,92.94,0,Laptop,58.0,18.3
47,27,Masculino,America_do_norte,Medio_alto,Bacharelado,Estudante,11.03,208,159,68,0,3,6.26,2.98,4.0,16.0,3.01,8.7,65.0,0,Tablet,65.3,46.1
48,42,Feminino,Oriente_medio,Alto,Mestrado,Cuidador_Aux_servicos_domiciliares,4.71,108,268,433,0,4,9.19,3.06,4.0,0.0,9.93,8.4,0.0,0,iPhone,76.0,36.7
49,21,Feminino,Europa,Medio_alto,Bacharelado,Estudante,5.66,122,157,256,9,3,8.4,3.07,6.52,3.0,1.0,8.5,79.0,0,Tablet,68.0,25.3
50,38,Masculino,Asia,Alto,Bacharelado,Meio período/Turno,5.53,75,268,101,92,3,6.3,2.92,5.0,14.0,1.0,9.4,60.0,0,Tablet,47.0,36.7
51,37,Feminino,America_do_sul,Medio_baixo,Bacharelado,Desempregado_a_procura_de_emprego,11.55,222,230,496,26,7,5.66,3.29,6.14,16.0,6.64,6.7,1.0,0,Android,68.0,51.1
52,23,Feminino,America_do_norte,Medio_baixo,Mestrado,Desempregado_a_procura_de_emprego,14.96,143,434,262,231,0,4.09,2.68,5.24,16.0,10.0,2.0,24.0,1,Laptop,65.3,56.6
53,21,Feminino,Europa,Baixo,Bacharelado,Estudante,7.94,141,802,62,145,5,7.83,3.11,5.38,13.0,1.76,9.9,0.0,0,Android,58.0,49.1
54,14,Masculino,Oriente_medio,Medio_baixo,Ensino_medio,Estudante,9.06,152,165,256,63,4,7.82,3.14,4.0,14.0,4.86,0.4,41.6,0,Tablet,71.0,36.7
55,15,Feminino,Oriente_medio,Medio_baixo,Ensino_medio,Estudante,9.94,177,104,180,0,4,6.41,3.0,9.26,12.0,1.0,9.4,64.0,0,Tablet,75.0,38.0
56,27,Feminino,America_do_sul,Medio_alto,Mestrado,Meio período/Turno,14.38,200,476,148,46,4,4.66,3.08,5.1,22.0,5.01,0.9,16.0,0,iPhone,74.0,61.1
57,17,Masculino,Europa,Medio_baixo,Ensino_medio,Estudante,6.76,146,182,166,0,3,7.21,2.99,4.0,4.0,1.16,9.2,55.0,0,iPhone,57.0,36.7
58,34,Masculino,Europa,Medio_alto,Bacharelado,Desempregado_a_procura_de_emprego,2.45,39,545,46,182,4,8.39,3.05,4.0,0.0,2.87,2.5,41.6,0,Laptop,62.0,21.9
59,16,Masculino,Africa,Baixo,Ensino_medio,Estudante,4.55,104,517,50,130,6,9.18,3.24,4.0,4.0,3.89,9.9,36.0,0,Laptop,68.0,29.9
60,18,Masculino,Europa,Medio_baixo,Bacharelado,Meio período/Turno,2.56,80,119,191,44,3,7.76,2.92,4.0,0.0,1.0,8.2,71.0,0,Laptop,75.0,13.0
61,30,Masculino,Asia,Medio_alto,Bacharelado,Funcionario_em_tmp_integral,5.59,153,268,41,45,4,7.58,3.14,4.0,0.0,10.0,0.9,68.0,0,iPhone,60.0,36.7
62,17,Masculino,America_do_norte,Medio_baixo,Ensino_medio,Estudante,3.96,59,337,50,229,2,7.42,2.99,4.0,8.0,1.0,8.4,60.0,0,iPhone,63.0,20.3
63,19,Masculino,America_do_norte,Baixo,Bacharelado,Meio período/Turno,2.78,92,264,258,62,5,8.16,3.14,4.0,0.0,1.0,8.6,42.0,0,Android,54.0,18.9
64,46,Feminino,Asia,Baixo,Mestrado,Funcionario_em_tmp_integral,8.22,199,404,39,135,5,7.56,3.26,7.81,9.0,1.0,6.4,40.0,0,Laptop,53.0,46.9
65,24,Feminino,Asia,Medio_alto,Bacharelado,Estudante,13.65,311,176,332,124,0,6.22,2.71,9.88,19.0,9.35,6.7,55.0,1,Laptop,73.0,60.9
66,32,Feminino,Europa,Medio_alto,Mestrado,Meio período/Turno,6.28,103,379,120,212,3,8.3,2.99,5.2,3.0,1.0,8.9,41.0,0,iPhone,79.0,31.6
67,33,Feminino,Europa,Alto,Bacharelado,Funcionario_em_tmp_integral,10.65,175,432,91,77,3,7.54,3.04,9.61,16.0,5.09,9.6,22.0,0,Tablet,64.0,49.9
68,32,Masculino,Asia,Medio_alto,Ensino_medio,Funcionario_em_tmp_integral,7.93,187,423,186,72,3,8.04,2.95,4.0,6.0,1.0,9.9,36.0,0,Laptop,75.0,43.8
69,18,Feminino,Europa,Medio_baixo,Bacharelado,Estudante,5.47,103,455,252,0,1,8.22,2.74,4.0,7.0,7.17,7.6,13.0,0,Android,65.3,30.5
70,50,Feminino,America_do_sul,Medio_baixo,Bacharelado,Funcionario_em_tmp_integral,5.05,38,272,71,76,2,9.2,2.81,9.04,7.0,1.0,8.4,57.0,0,Android,59.0,22.6
71,29,Feminino,Asia,Medio_alto,Bacharelado,Funcionario_em_tmp_integral,2.33,106,591,75,175,6,7.85,3.32,4.69,2.0,7.7,8.5,6.0,0,Laptop,65.3,27.8
72,46,Masculino,Asia,Medio_alto,Bacharelado,Meio período/Turno,12.74,247,273,203,170,4,6.14,3.02,4.0,20.0,5.92,5.8,29.0,1,iPhone,80.0,57.6
73,33,Masculino,Oriente_medio,Alto,Ensino_medio,Meio período/Turno,4.98,109,206,75,218,0,8.34,2.72,4.0,4.0,5.28,6.9,76.0,0,iPhone,65.0,25.0
74,31,Masculino,Europa,Baixo,Doutorado,Funcionario_em_tmp_integral,4.22,107,195,114,13,5,8.26,3.08,5.0,4.0,1.85,6.42,66.0,0,Laptop,81.0,22.2
75,22,Feminino,Europa,Medio_alto,Bacharelado,Funcionario_em_tmp_integral,7.88,179,131,168,52,4,5.54,3.1,5.61,8.0,1.11,8.5,46.0,0,Android,39.0,35.7
76,24,Feminino,Europa,Baixo,Bacharelado,Estudante,5.64,111,254,262,139,4,9.18,3.01,7.54,6.0,9.89,5.1,63.0,0,Tablet,65.3,26.9
77,50,Masculino,America_do_norte,Medio_baixo,Bacharelado,Funcionario_em_tmp_integral,8.36,206,186,0,81,4,8.78,3.03,4.0,16.0,2.9,9.7,64.0,0,Tablet,66.0,42.3
78,33,Feminino,Africa,Medio_alto,Ensino_medio,Funcionario_em_tmp_integral,4.69,103,214,54,134,2,8.31,2.9,6.4,5.0,1.0,8.0,67.0,1,Laptop,62.0,24.1
79,23,Masculino,Asia,Baixo,Bacharelado,Estudante,6.7,169,151,82,184,1,8.7,2.76,4.0,6.0,3.2,8.3,55.0,0,Laptop,66.0,31.8
80,32,Feminino,America_do_norte,Medio_baixo,Bacharelado,Desempregado_a_procura_de_emprego,4.35,102,462,588,293,5,9.85,3.12,6.66,8.0,5.88,9.6,0.0,0,Tablet,45.0,29.9
81,19,Feminino,Oriente_medio,Baixo,Bacharelado,Estudante,5.41,126,560,246,84,2,8.46,2.96,6.64,8.0,5.08,6.2,12.0,0,iPhone,63.0,35.3
82,47,Masculino,Africa,Medio_alto,Bacharelado,Cuidador_Aux_servicos_domiciliares,8.8,217,217,20,91,7,7.72,3.31,5.0,12.0,2.76,7.4,75.0,0,Laptop,69.0,44.7
83,22,Feminino,Europa,Baixo,Bacharelado,Desempregado_a_procura_de_emprego,3.38,49,73,73,62,3,7.18,2.98,6.39,5.0,5.07,0.0,83.06,0,Tablet,80.0,11.3
84,15,Feminino,Europa,Medio_baixo,Ensino_medio,Estudante,3.61,65,529,182,102,4,8.33,3.06,4.23,2.0,2.88,8.7,21.0,0,Tablet,60.0,24.8
85,46,Feminino,America_do_sul,Medio_alto,Doutorado,Meio período/Turno,12.0,278,328,44,90,1,5.42,2.79,5.95,16.0,8.2,5.4,56.0,1,Laptop,65.3,60.6
86,41,Feminino,Europa,Medio_baixo,Doutorado,Meio período/Turno,5.49,143,55,19,39,4,7.88,3.15,5.42,6.0,9.89,1.6,71.0,0,Android,60.0,26.2
87,22,Masculino,Africa,Baixo,Bacharelado,Meio período/Turno,6.0,158,288,207,228,0,7.06,2.69,4.0,8.0,1.0,8.1,62.0,0,Laptop,74.0,32.4
88,23,Feminino,America_do_norte,Medio_baixo,Bacharelado,Estudante,7.63,173,320,49,115,2,8.34,2.9,7.4,11.0,8.04,8.6,65.0,0,iPhone,68.0,38.6
89,28,Feminino,Europa,Alto,Bacharelado,Meio período/Turno,5.73,175,436,53,139,0,7.23,2.74,4.0,6.0,5.3,8.2,35.0,0,Laptop,60.0,38.0
90,20,Masculino,America_do_norte,Medio_baixo,Bacharelado,Meio período/Turno,4.65,84,286,509,74,1,6.72,2.86,4.0,0.0,9.2,4.7,29.0,1,Tablet,70.0,22.9
91,16,Feminino,Oriente_medio,Medio_baixo,Ensino_medio,Estudante,3.31,112,800,106,246,2,7.12,2.95,6.65,7.0,9.14,9.5,0.0,0,Tablet,66.0,34.9
92,23,Feminino,America_do_sul,Medio_baixo,Mestrado,Estudante,10.06,203,138,298,70,0,8.36,2.73,6.54,14.0,1.0,9.2,57.0,1,iPhone,75.0,42.1
93,22,Feminino,Europa,Baixo,Ensino_medio,Funcionario_em_tmp_integral,5.49,139,210,160,119,5,7.19,3.15,6.9,7.0,1.0,9.0,72.0,0,Laptop,58.0,36.7
94,19,Masculino,Europa,Baixo,Bacharelado,Estudante,4.06,78,141,107,52,2,7.56,2.91,4.0,7.0,1.11,9.4,53.0,0,Tablet,62.0,17.3
95,33,Masculino,Asia,Medio_baixo,Mestrado,Funcionario_em_tmp_integral,13.45,270,292,123,0,3,7.28,2.86,4.0,14.0,10.0,0.3,48.0,1,Laptop,61.0,61.1
96,24,Masculino,Europa,Baixo,Mestrado,Estudante,6.8,211,100,40,111,3,7.99,2.89,4.0,11.0,9.98,0.0,74.0,0,Android,50.0,34.9
97,29,Masculino,America_do_sul,Baixo,Ensino_medio,Meio período/Turno,10.1,246,302,373,149,5,7.74,3.1,4.0,18.0,1.88,7.7,42.0,0,Tablet,68.0,50.8
98,41,Masculino,Asia,Baixo,Bacharelado,Meio período/Turno,5.34,70,230,157,146,3,7.06,2.94,5.0,4.0,6.11,8.8,35.0,0,Tablet,68.0,23.8
99,19,Masculino,America_do_sul,Medio_baixo,Bacharelado,Funcionario_em_tmp_integral,14.01,190,557,302,86,4,6.15,2.99,5.0,14.0,9.92,2.1,0.0,1,Tablet,65.0,60.9
100,16,Feminino,Africa,Baixo,Ensino_medio,Estudante,5.12,101,270,86,239,7,6.88,3.33,7.45,5.0,1.0,10.0,74.0,0,Android,63.0,24.8
101,35,Feminino,Asia,Baixo,Bacharelado,Funcionario_em_tmp_integral,7.26,131,89,89,178,1,8.0,2.81,8.48,9.0,10.0,3.3,56.0,0,Laptop,51.0,29.9
102,16,Feminino,America_do_sul,Baixo,Ensino_medio,Estudante,4.67,131,51,168,2,4,9.12,3.04,6.17,8.0,1.0,9.9,88.94,0,Android,61.0,20.7
103,41,Feminino,Europa,Medio_alto,Mestrado,Funcionario_em_tmp_integral,6.14,92,392,252,0,4,7.88,2.99,5.93,6.0,1.01,9.9,31.0,0,Tablet,62.0,31.9
104,39,Feminino,Asia,Alto,Bacharelado,Funcionario_em_tmp_integral,5.13,126,518,0,169,4,7.12,3.05,5.52,4.0,3.9,7.1,29.0,0,Tablet,57.0,35.5
105,17,Masculino,Asia,Medio_baixo,Ensino_medio,Estudante,3.95,80,1105,151,0,2,6.02,2.76,4.0,7.0,3.08,7.8,0.0,0,Tablet,65.3,41.6
106,20,Feminino,Europa,Baixo,Ensino_medio,Meio período/Turno,2.74,41,96,62,43,4,6.08,3.04,4.68,3.0,3.11,9.9,81.0,0,Android,65.3,9.8
107,43,Feminino,Europa,Medio_alto,Bacharelado,Meio período/Turno,9.43,209,337,82,19,2,6.35,2.9,7.58,15.0,3.29,6.1,38.0,0,Android,84.0,47.8
108,15,Feminino,Africa,Baixo,Ensino_medio,Estudante,8.2,139,740,353,183,5,4.64,3.14,6.86,14.0,9.86,3.9,0.0,0,Laptop,67.0,47.1
109,24,Masculino,America_do_sul,Medio_alto,Bacharelado,Estudante,2.46,61,305,122,186,6,7.66,3.13,4.0,0.0,1.0,9.6,52.0,0,Laptop,68.0,16.6
110,19,Masculino,Europa,Baixo,Bacharelado,Desempregado_a_procura_de_emprego,8.04,225,929,47,28,5,8.07,3.14,4.0,6.0,3.65,9.8,0.0,0,iPhone,64.0,59.2
111,17,Feminino,Asia,Baixo,Ensino_medio,Meio período/Turno,2.88,56,158,131,159,4,7.37,3.0,7.74,1.0,4.87,8.4,57.0,0,Tablet,46.0,13.4
112,30,Feminino,Asia,Baixo,Mestrado,Funcionario_em_tmp_integral,3.68,82,424,56,186,0,9.84,2.69,8.4,0.0,4.32,8.6,53.0,0,Laptop,65.0,24.9
113,24,Masculino,Africa,Medio_alto,Bacharelado,Desempregado_a_procura_de_emprego,14.82,310,176,197,47,3,6.26,3.01,4.0,19.0,10.0,4.5,42.0,1,Tablet,66.0,63.8
114,23,Feminino,America_do_norte,Baixo,Bacharelado,Meio período/Turno,4.85,101,137,611,0,2,7.14,2.99,7.15,2.0,5.1,8.0,13.0,1,Android,90.0,20.6
115,24,Feminino,Oriente_medio,Medio_alto,Bacharelado,Estudante,13.09,279,283,176,170,2,5.92,2.9,7.22,18.0,8.94,0.9,42.0,1,iPhone,63.0,59.9
116,24,Masculino,America_do_sul,Baixo,Bacharelado,Estudante,9.17,211,301,169,117,3,6.98,2.93,4.0,9.0,3.07,7.1,41.0,0,Tablet,68.0,45.2
117,26,Feminino,Asia,Baixo,Bacharelado,Funcionario_em_tmp_integral,4.91,98,166,77,246,1,8.1,2.82,7.47,6.0,7.3,9.2,35.0,0,Tablet,65.0,22.3
118,21,Masculino,Africa,Baixo,Ensino_medio,Funcionario_em_tmp_integral,13.82,304,397,35,146,7,5.12,3.34,4.0,21.0,4.74,5.7,37.0,1,Laptop,53.0,66.6
119,21,Masculino,Europa,Medio_baixo,Bacharelado,Funcionario_em_tmp_integral,16.52,261,257,83,146,4,6.08,3.08,4.0,20.0,9.86,0.3,45.0,1,iPhone,76.0,65.2
120,24,Feminino,America_do_norte,Medio_alto,Bacharelado,Funcionario_em_tmp_integral,5.62,72,429,153,26,6,8.4,3.35,4.64,1.0,4.65,7.4,33.0,0,iPhone,73.0,28.0
121,21,Masculino,America_do_sul,Medio_alto,Bacharelado,Funcionario_em_tmp_integral,3.31,67,396,52,0,5,8.32,3.1,4.0,0.0,2.61,9.8,50.0,0,Android,73.0,21.0
122,44,Feminino,Africa,Alto,Bacharelado,Desempregado_a_procura_de_emprego,5.88,152,284,18,173,5,8.01,3.14,8.56,11.0,3.8,5.9,55.0,1,Android,65.3,34.1
123,25,Masculino,Europa,Medio_baixo,Bacharelado,Funcionario_em_tmp_integral,10.01,120,249,21,240,3,6.86,3.05,5.0,11.0,3.11,7.3,61.0,0,Tablet,79.0,37.8
124,29,Feminino,Oriente_medio,Baixo,Bacharelado,Meio período/Turno,6.92,206,511,272,102,1,7.96,2.89,9.69,8.0,2.2,5.7,9.0,0,Laptop,51.0,45.7
125,34,Feminino,Europa,Alto,Bacharelado,Funcionario_em_tmp_integral,8.33,141,66,72,64,2,7.1,2.8,8.5,9.0,10.0,0.5,81.0,0,iPhone,71.0,32.0
126,30,Feminino,Oriente_medio,Medio_baixo,Mestrado,Funcionario_em_tmp_integral,3.22,91,146,83,0,6,9.2,3.21,6.64,7.0,1.7,6.42,76.0,0,Laptop,87.06,16.9
127,26,Masculino,America_do_norte,Medio_baixo,Bacharelado,Funcionario_em_tmp_integral,11.65,262,509,272,77,5,6.17,3.2,4.0,15.0,4.84,7.3,0.0,0,iPhone,55.0,61.2
128,34,Masculino,Africa,Baixo,Doutorado,Funcionario_em_tmp_integral,8.96,184,148,382,0,3,6.74,3.12,4.0,14.0,1.0,7.4,60.0,0,Android,59.0,39.6
129,24,Feminino,Africa,Medio_baixo,Bacharelado,Meio período/Turno,3.53,81,146,157,44,3,7.69,3.01,8.16,3.0,1.0,9.1,58.0,0,Tablet,66.0,16.8
130,15,Masculino,Africa,Baixo,Ensino_medio,Estudante,4.25,104,253,238,52,3,8.2,2.95,4.0,3.0,9.88,0.5,45.0,0,iPhone,60.0,22.6
131,26,Feminino,Asia,Baixo,Bacharelado,Funcionario_em_tmp_integral,6.44,175,264,72,72,5,8.04,3.08,8.52,9.0,9.88,2.6,49.0,0,Tablet,49.0,35.4
132,41,Feminino,Asia,Medio_alto,Bacharelado,Funcionario_em_tmp_integral,4.85,80,398,489,32,2,9.28,3.0,7.14,2.0,1.0,9.7,0.0,0,Android,66.0,27.9
133,28,Feminino,Asia,Medio_baixo,Mestrado,Funcionario_em_tmp_integral,14.73,297,268,59,203,6,4.68,3.25,7.58,18.0,6.83,2.2,55.0,0,Tablet,54.0,36.7
134,27,Feminino,Asia,Medio_alto,Bacharelado,Desempregado_a_procura_de_emprego,4.43,58,255,107,88,7,6.69,3.25,5.09,0.0,4.53,9.5,50.0,0,Android,70.0,19.9
135,17,Feminino,Asia,Medio_baixo,Ensino_medio,Estudante,4.85,119,172,194,0,1,7.07,2.8,7.38,9.0,10.0,6.42,61.0,0,Laptop,56.0,23.5
136,31,Feminino,Africa,Baixo,Mestrado,Meio período/Turno,11.11,192,26,89,28,3,6.44,2.99,5.6,18.0,1.08,8.2,87.06,0,Tablet,80.0,41.4
137,30,Feminino,Asia,Medio_baixo,Mestrado,Meio período/Turno,4.38,67,113,562,102,1,8.38,2.84,6.01,10.0,10.0,0.0,20.0,0,iPhone,57.0,17.6
138,33,Feminino,Africa,Baixo,Bacharelado,Funcionario_em_tmp_integral,10.36,160,645,136,84,3,7.28,2.93,5.51,22.0,2.97,5.8,0.0,0,Tablet,62.0,53.3
139,31,Feminino,Asia,Medio_baixo,Bacharelado,Funcionario_em_tmp_integral,15.36,300,236,270,79,6,5.03,3.18,6.42,21.0,7.52,2.3,54.0,1,Laptop,73.0,66.2
140,28,Feminino,Europa,Medio_baixo,Bacharelado,Funcionario_em_tmp_integral,7.52,167,76,178,141,4,6.58,2.97,6.96,14.0,1.96,9.9,54.0,0,Laptop,53.0,32.6
141,22,Masculino,Asia,Baixo,Bacharelado,Meio período/Turno,9.51,201,265,53,79,1,5.52,2.86,4.0,8.0,10.0,0.0,50.0,1,iPhone,67.0,44.0
